,C_CID,C_RES,C_Scope,C_URI,R_AC,R_Scope,R_Token,R_data,R_i_state,grant,i_state,CR_AC,CR_CID,CR_GT,CR_Token,CR_URI,Token,UR_AC,UR_CID,UR_GT,UR_URI,data,timeOut,U_AC,U_CID,U_RES,U_Scope,U_URI,U_i_state,label
1443,39089,1,2,15798,38427,2,48792,3943,7713,1,7713,38427,39089,1,48792,15798,48792,38427,39089,1,15798,3943,9,38427,39089,1,2,15798,7713,0
1444,23666,2,1,44790,6914,1,10222,6166,15648,1,15648,6914,23666,1,10222,44790,10222,6914,23666,1,44790,6166,5,6914,23666,2,1,44790,15648,0
1445,21121,2,1,11636,42212,1,16048,23919,18463,1,18463,42212,21121,1,16048,11636,16048,42212,21121,1,11636,23919,4,42212,21121,2,1,11636,18463,0
1446,7771,1,1,22,41523,1,34259,20181,48182,1,48182,41523,7771,1,34259,22,34259,41523,7771,1,22,20181,3,41523,7771,1,1,22,48182,0
1447,19406,2,1,24519,18851,1,46184,20152,16768,2,16768,18851,19406,2,46184,24519,46184,18851,19406,2,24519,20152,5,18851,19406,2,1,24519,16768,0
1448,1509,2,2,10982,15440,2,9859,20842,27683,2,27683,15440,1509,2,9859,10982,9859,15440,1509,2,10982,20842,10,15440,1509,2,2,10982,27683,0
1449,14255,1,2,36429,3701,2,26163,41271,10798,2,10798,3701,14255,2,26163,36429,26163,3701,14255,2,36429,41271,8,3701,14255,1,2,36429,10798,0
1450,23149,1,1,41683,12662,1,8984,49197,39743,2,39743,12662,23149,2,8984,41683,8984,12662,23149,2,41683,49197,7,12662,23149,1,1,41683,39743,0
1451,8607,2,1,46955,49036,1,35854,3432,33928,2,33928,49036,8607,2,35854,46955,35854,49036,8607,2,46955,3432,6,49036,8607,2,1,46955,33928,0
1452,2322,2,1,49814,47960,1,48546,44512,39380,2,39380,47960,2322,2,48546,49814,48546,47960,2322,2,49814,44512,4,47960,2322,2,1,49814,39380,0
1453,21151,2,2,42185,16855,2,4747,20036,25391,1,25391,16855,21151,1,4747,42185,4747,16855,21151,1,42185,20036,7,16855,21151,2,2,42185,25391,0
1454,39022,2,2,18042,36300,2,18705,6037,35562,2,35562,36300,39022,2,18705,18042,18705,36300,39022,2,18042,6037,5,36300,39022,2,2,18042,35562,0
1455,37184,1,1,10713,42323,1,12940,44265,1324,2,1324,42323,37184,2,12940,10713,12940,42323,37184,2,10713,44265,8,42323,37184,1,1,10713,1324,0
1456,17552,2,2,42712,46712,2,20249,104,49584,1,49584,46712,17552,1,20249,42712,20249,46712,17552,1,42712,104,8,46712,17552,2,2,42712,49584,0
1457,28985,1,1,33846,47961,1,27029,40384,1032,1,1032,47961,28985,1,27029,33846,27029,47961,28985,1,33846,40384,5,47961,28985,1,1,33846,1032,0
1458,9146,1,2,26310,32515,2,6618,38149,11794,1,11794,32515,9146,1,6618,26310,6618,32515,9146,1,26310,38149,4,32515,9146,1,2,26310,11794,0
1459,6966,1,1,10771,37785,1,19692,18859,41573,1,41573,37785,6966,1,19692,10771,19692,37785,6966,1,10771,18859,10,37785,6966,1,1,10771,41573,0
1460,45209,2,1,41547,27576,1,26453,20798,40263,1,40263,27576,45209,1,26453,41547,26453,27576,45209,1,41547,20798,5,27576,45209,2,1,41547,40263,0
1461,48043,2,2,28326,18002,2,13196,39155,18979,2,18979,18002,48043,2,13196,28326,13196,18002,48043,2,28326,39155,9,18002,48043,2,2,28326,18979,0
1462,176,1,2,21375,9252,2,38355,15661,15417,1,15417,9252,176,1,38355,21375,38355,9252,176,1,21375,15661,10,9252,176,1,2,21375,15417,0
1463,38023,2,2,23746,23378,2,7393,25838,3933,2,3933,23378,38023,2,7393,23746,7393,23378,38023,2,23746,25838,4,23378,38023,2,2,23746,3933,0
1464,5334,2,1,12791,49252,1,12819,34236,20139,2,20139,49252,5334,2,12819,12791,12819,49252,5334,2,12791,34236,7,49252,5334,2,1,12791,20139,0
1465,38841,1,1,14868,13525,1,7736,46512,37667,1,37667,13525,38841,1,7736,14868,7736,13525,38841,1,14868,46512,5,13525,38841,1,1,14868,37667,0
1466,1270,1,1,6755,37047,1,8570,13815,35173,2,35173,37047,1270,2,8570,6755,8570,37047,1270,2,6755,13815,6,37047,1270,1,1,6755,35173,0
1467,27344,1,2,18519,26110,2,22817,14019,29498,1,29498,26110,27344,1,22817,18519,22817,26110,27344,1,18519,14019,9,26110,27344,1,2,18519,29498,0
1468,11670,1,2,3525,21610,2,14933,38783,44526,2,44526,21610,11670,2,14933,3525,14933,21610,11670,2,3525,38783,10,21610,11670,1,2,3525,44526,0
1469,31486,1,2,26511,28466,2,15937,18051,25289,1,25289,28466,31486,1,15937,26511,15937,28466,31486,1,26511,18051,4,28466,31486,1,2,26511,25289,0
1470,20862,1,1,5289,17085,1,24813,17021,10948,1,10948,17085,20862,1,24813,5289,24813,17085,20862,1,5289,17021,5,17085,20862,1,1,5289,10948,0
1471,19683,1,1,10054,7006,1,18953,19329,17427,1,17427,7006,19683,1,18953,10054,18953,7006,19683,1,10054,19329,4,7006,19683,1,1,10054,17427,0
1472,1249,2,1,29048,8165,1,41005,32764,35001,1,35001,8165,1249,1,41005,29048,41005,8165,1249,1,29048,32764,3,8165,1249,2,1,29048,35001,0
1473,28750,2,2,17385,48649,2,25562,22343,19217,1,19217,48649,28750,1,25562,17385,25562,48649,28750,1,17385,22343,10,48649,28750,2,2,17385,19217,0
1474,262,1,2,36595,5,2,18447,3136,33630,2,33630,5,262,2,18447,36595,18447,5,262,2,36595,3136,10,5,262,1,2,36595,33630,0
1475,49879,1,1,29995,37975,1,38579,604,9881,1,9881,37975,49879,1,38579,29995,38579,37975,49879,1,29995,604,10,37975,49879,1,1,29995,9881,0
1476,26515,1,2,16788,44636,2,37537,13586,35127,2,35127,44636,26515,2,37537,16788,37537,44636,26515,2,16788,13586,8,44636,26515,1,2,16788,35127,0
1477,15859,1,1,3794,23796,1,17365,33440,8003,1,8003,23796,15859,1,17365,3794,17365,23796,15859,1,3794,33440,10,23796,15859,1,1,3794,8003,0
1478,2576,1,1,17902,46624,1,18659,41998,27797,2,27797,46624,2576,2,18659,17902,18659,46624,2576,2,17902,41998,4,46624,2576,1,1,17902,27797,0
1479,15819,2,1,45067,38507,1,36440,30750,40077,2,40077,38507,15819,2,36440,45067,36440,38507,15819,2,45067,30750,4,38507,15819,2,1,45067,40077,0
1480,6704,2,1,14335,49396,1,3694,2869,40816,2,40816,49396,6704,2,3694,14335,3694,49396,6704,2,14335,2869,7,49396,6704,2,1,14335,40816,0
1481,43063,2,1,22306,34858,1,25705,27447,8086,1,8086,34858,43063,1,25705,22306,25705,34858,43063,1,22306,27447,10,34858,43063,2,1,22306,8086,0
1482,29434,2,2,20518,40771,2,44898,15453,41566,2,41566,40771,29434,2,44898,20518,44898,40771,29434,2,20518,15453,4,40771,29434,2,2,20518,41566,0
1483,2281,1,1,35016,37366,1,8313,32270,42083,2,42083,37366,2281,2,8313,35016,8313,37366,2281,2,35016,32270,6,37366,2281,1,1,35016,42083,0
1484,20506,2,1,18879,42902,1,33986,13120,11439,1,11439,42902,20506,1,33986,18879,33986,42902,20506,1,18879,13120,4,42902,20506,2,1,18879,11439,0
1485,9596,1,2,20922,38348,2,5561,41657,39341,1,39341,38348,9596,1,5561,20922,5561,38348,9596,1,20922,41657,4,38348,9596,1,2,20922,39341,0
1486,38763,2,1,45006,21675,1,27024,10622,5693,1,5693,21675,38763,1,27024,45006,27024,21675,38763,1,45006,10622,5,21675,38763,2,1,45006,5693,0
1487,47422,2,1,30143,43521,1,21238,29361,12492,2,12492,43521,47422,2,21238,30143,21238,43521,47422,2,30143,29361,7,43521,47422,2,1,30143,12492,0
1488,49395,1,2,4482,17319,2,32932,36764,14340,2,14340,17319,49395,2,32932,4482,32932,17319,49395,2,4482,36764,5,17319,49395,1,2,4482,14340,0
1489,39086,1,1,27891,10933,1,15197,17068,7612,1,7612,10933,39086,1,15197,27891,15197,10933,39086,1,27891,17068,7,10933,39086,1,1,27891,7612,0
1490,32946,1,1,40240,26356,1,43817,8905,5047,2,5047,26356,32946,2,43817,40240,43817,26356,32946,2,40240,8905,4,26356,32946,1,1,40240,5047,0
1491,10238,2,1,42374,29691,1,25542,18968,18236,1,18236,29691,10238,1,25542,42374,25542,29691,10238,1,42374,18968,4,29691,10238,2,1,42374,18236,0
1492,8771,2,2,49570,44765,2,18813,46312,38593,2,38593,44765,8771,2,18813,49570,18813,44765,8771,2,49570,46312,5,44765,8771,2,2,49570,38593,0
1493,8877,2,1,13397,4887,1,13235,34245,19609,1,19609,4887,8877,1,13235,13397,13235,4887,8877,1,13397,34245,7,4887,8877,2,1,13397,19609,0
1494,5549,1,2,20020,23353,2,32477,36440,19085,1,19085,23353,5549,1,32477,20020,32477,23353,5549,1,20020,36440,5,23353,5549,1,2,20020,19085,0
1495,26677,1,1,39211,20819,1,1964,1477,42558,2,42558,20819,26677,2,1964,39211,1964,20819,26677,2,39211,1477,3,20819,26677,1,1,39211,42558,0
1496,586,2,1,48454,928,1,22654,20430,5356,1,5356,928,586,1,22654,48454,22654,928,586,1,48454,20430,3,928,586,2,1,48454,5356,0
1497,45047,2,2,28792,29312,2,45636,7446,49562,2,49562,29312,45047,2,45636,28792,45636,29312,45047,2,28792,7446,10,29312,45047,2,2,28792,49562,0
1498,8673,2,2,28890,39067,2,37594,39927,16968,1,16968,39067,8673,1,37594,28890,37594,39067,8673,1,28890,39927,6,39067,8673,2,2,28890,16968,0
1499,34814,1,2,6000,35859,2,15567,37081,38062,1,38062,35859,34814,1,15567,6000,15567,35859,34814,1,6000,37081,6,35859,34814,1,2,6000,38062,0
1500,31985,2,2,15756,10951,2,651,19600,16032,1,16032,10951,31985,1,651,15756,651,10951,31985,1,15756,19600,8,10951,31985,2,2,15756,16032,0
1501,44393,2,2,11044,10850,2,32127,11400,17580,2,17580,10850,44393,2,32127,11044,32127,10850,44393,2,11044,11400,3,10850,44393,2,2,11044,17580,0
1502,32494,2,2,40337,28974,2,49063,26756,36852,1,36852,28974,32494,1,49063,40337,49063,28974,32494,1,40337,26756,8,28974,32494,2,2,40337,36852,0
1503,14621,2,2,29934,947,2,23001,40216,38841,2,38841,947,14621,2,23001,29934,23001,947,14621,2,29934,40216,5,947,14621,2,2,29934,38841,0
1504,24404,1,2,22368,37087,2,35570,3087,49979,1,49979,37087,24404,1,35570,22368,35570,37087,24404,1,22368,3087,5,37087,24404,1,2,22368,49979,0
1505,45429,2,2,45574,27029,2,45472,3016,27010,1,27010,27029,45429,1,45472,45574,45472,27029,45429,1,45574,3016,8,27029,45429,2,2,45574,27010,0
1506,29794,1,1,14397,5488,1,45187,40709,46108,1,46108,5488,29794,1,45187,14397,45187,5488,29794,1,14397,40709,4,5488,29794,1,1,14397,46108,0
1507,23599,1,2,27291,43461,2,5249,28950,28638,1,28638,43461,23599,1,5249,27291,5249,43461,23599,1,27291,28950,8,43461,23599,1,2,27291,28638,0
1508,23542,2,2,5877,14893,2,36136,28665,34773,1,34773,14893,23542,1,36136,5877,36136,14893,23542,1,5877,28665,5,14893,23542,2,2,5877,34773,0
1509,11813,2,1,27982,47546,1,6340,49931,47235,2,47235,47546,11813,2,6340,27982,6340,47546,11813,2,27982,49931,8,47546,11813,2,1,27982,47235,0
1510,42322,1,1,17390,12232,1,43909,22753,4506,2,4506,12232,42322,2,43909,17390,43909,12232,42322,2,17390,22753,6,12232,42322,1,1,17390,4506,0
1511,10395,1,2,47772,22469,2,19912,27701,3630,2,3630,22469,10395,2,19912,47772,19912,22469,10395,2,47772,27701,8,22469,10395,1,2,47772,3630,0
1512,47152,2,1,41667,2336,1,21303,28661,5609,2,5609,2336,47152,2,21303,41667,21303,2336,47152,2,41667,28661,4,2336,47152,2,1,41667,5609,0
1513,27683,2,1,17079,10411,1,48027,38949,20301,2,20301,10411,27683,2,48027,17079,48027,10411,27683,2,17079,38949,10,10411,27683,2,1,17079,20301,0
1514,22606,1,1,30451,40511,1,2502,46662,36101,2,36101,40511,22606,2,2502,30451,2502,40511,22606,2,30451,46662,5,40511,22606,1,1,30451,36101,0
1515,36096,2,1,20686,48065,1,1774,44122,31519,1,31519,48065,36096,1,1774,20686,1774,48065,36096,1,20686,44122,3,48065,36096,2,1,20686,31519,0
1516,27572,2,2,5586,32756,2,49373,14687,24274,1,24274,32756,27572,1,49373,5586,49373,32756,27572,1,5586,14687,10,32756,27572,2,2,5586,24274,0
1517,35661,2,2,17650,22196,2,8370,7123,17966,1,17966,22196,35661,1,8370,17650,8370,22196,35661,1,17650,7123,3,22196,35661,2,2,17650,17966,0
1518,28929,1,1,7593,12144,1,35937,36418,44602,1,44602,12144,28929,1,35937,7593,35937,12144,28929,1,7593,36418,8,12144,28929,1,1,7593,44602,0
1519,38266,2,1,19925,22751,1,31635,47234,29457,1,29457,22751,38266,1,31635,19925,31635,22751,38266,1,19925,47234,6,22751,38266,2,1,19925,29457,0
1520,8377,1,1,33755,31301,1,47766,37113,16790,1,16790,31301,8377,1,47766,33755,47766,31301,8377,1,33755,37113,7,31301,8377,1,1,33755,16790,0
1521,37042,1,1,8033,1512,1,19455,25140,49441,2,49441,1512,37042,2,19455,8033,19455,1512,37042,2,8033,25140,5,1512,37042,1,1,8033,49441,0
1522,12055,1,2,23916,43401,2,16516,8212,15798,1,15798,43401,12055,1,16516,23916,16516,43401,12055,1,23916,8212,9,43401,12055,1,2,23916,15798,0
1523,12287,1,2,21996,21330,2,34432,17598,23018,2,23018,21330,12287,2,34432,21996,34432,21330,12287,2,21996,17598,7,21330,12287,1,2,21996,23018,0
1524,19843,1,1,1803,29832,1,1030,42004,24994,2,24994,29832,19843,2,1030,1803,1030,29832,19843,2,1803,42004,5,29832,19843,1,1,1803,24994,0
1525,48411,1,2,27510,6945,2,18601,46862,10466,1,10466,6945,48411,1,18601,27510,18601,6945,48411,1,27510,46862,5,6945,48411,1,2,27510,10466,0
1526,44100,2,1,26533,6344,1,27988,33591,35971,1,35971,6344,44100,1,27988,26533,27988,6344,44100,1,26533,33591,6,6344,44100,2,1,26533,35971,0
1527,37484,2,1,48184,17700,1,40500,30552,26330,1,26330,17700,37484,1,40500,48184,40500,17700,37484,1,48184,30552,7,17700,37484,2,1,48184,26330,0
1528,907,2,2,8641,39079,2,22105,37,10999,2,10999,39079,907,2,22105,8641,22105,39079,907,2,8641,37,3,39079,907,2,2,8641,10999,0
1529,9795,2,2,6883,10671,2,30526,42544,46493,2,46493,10671,9795,2,30526,6883,30526,10671,9795,2,6883,42544,9,10671,9795,2,2,6883,46493,0
1530,15643,1,2,49518,13624,2,12847,21889,27751,1,27751,13624,15643,1,12847,49518,12847,13624,15643,1,49518,21889,10,13624,15643,1,2,49518,27751,0
1531,41710,1,1,41591,36443,1,45838,30245,3317,1,3317,36443,41710,1,45838,41591,45838,36443,41710,1,41591,30245,10,36443,41710,1,1,41591,3317,0
1532,25516,2,2,18886,28510,2,106,14367,22977,1,22977,28510,25516,1,106,18886,106,28510,25516,1,18886,14367,6,28510,25516,2,2,18886,22977,0
1533,16196,1,2,19714,4748,2,13983,36236,40101,2,40101,4748,16196,2,13983,19714,13983,4748,16196,2,19714,36236,7,4748,16196,1,2,19714,40101,0
1534,28420,1,1,7743,13930,1,34005,22406,11037,2,11037,13930,28420,2,34005,7743,34005,13930,28420,2,7743,22406,5,13930,28420,1,1,7743,11037,0
1535,5314,2,2,24801,38918,2,47663,34642,33367,2,33367,38918,5314,2,47663,24801,47663,38918,5314,2,24801,34642,10,38918,5314,2,2,24801,33367,0
1536,13823,1,2,38105,4852,2,3076,19313,3577,2,3577,4852,13823,2,3076,38105,3076,4852,13823,2,38105,19313,5,4852,13823,1,2,38105,3577,0
1537,17845,2,2,39434,49793,2,22044,13757,21126,2,21126,49793,17845,2,22044,39434,22044,49793,17845,2,39434,13757,10,49793,17845,2,2,39434,21126,0
1538,12549,2,1,47434,43963,1,22177,37374,10333,1,10333,43963,12549,1,22177,47434,22177,43963,12549,1,47434,37374,7,43963,12549,2,1,47434,10333,0
1539,28523,1,1,27556,9083,1,43328,41843,15983,1,15983,9083,28523,1,43328,27556,43328,9083,28523,1,27556,41843,5,9083,28523,1,1,27556,15983,0
1540,4269,1,2,48095,33158,2,46364,26580,8112,1,8112,33158,4269,1,46364,48095,46364,33158,4269,1,48095,26580,7,33158,4269,1,2,48095,8112,0
1541,39966,2,1,14159,15166,1,39999,37413,46593,2,46593,15166,39966,2,39999,14159,39999,15166,39966,2,14159,37413,8,15166,39966,2,1,14159,46593,0
1542,18053,2,2,31367,45700,2,2365,31511,29789,2,29789,45700,18053,2,2365,31367,2365,45700,18053,2,31367,31511,5,45700,18053,2,2,31367,29789,0
1543,18616,2,2,19021,28756,2,6639,24743,18589,2,18589,28756,18616,2,6639,19021,6639,28756,18616,2,19021,24743,5,28756,18616,2,2,19021,18589,0
1544,16631,1,2,46616,14060,2,18383,11287,11253,1,11253,14060,16631,1,18383,46616,18383,14060,16631,1,46616,11287,4,14060,16631,1,2,46616,11253,0
1545,28931,2,2,43082,15434,2,5113,8264,19172,2,19172,15434,28931,2,5113,43082,5113,15434,28931,2,43082,8264,9,15434,28931,2,2,43082,19172,0
1546,36913,2,1,42696,49636,1,37925,39679,29372,1,29372,49636,36913,1,37925,42696,37925,49636,36913,1,42696,39679,6,49636,36913,2,1,42696,29372,0
1547,14755,1,1,6993,17964,1,48462,10634,48111,1,48111,17964,14755,1,48462,6993,48462,17964,14755,1,6993,10634,6,17964,14755,1,1,6993,48111,0
1548,35535,2,1,45650,8915,1,45695,10652,864,2,864,8915,35535,2,45695,45650,45695,8915,35535,2,45650,10652,10,8915,35535,2,1,45650,864,0
1549,18654,1,2,23572,45558,2,12867,35732,34442,1,34442,45558,18654,1,12867,23572,12867,45558,18654,1,23572,35732,5,45558,18654,1,2,23572,34442,0
1550,45926,2,1,12544,18825,1,34374,17008,32755,2,32755,18825,45926,2,34374,12544,34374,18825,45926,2,12544,17008,9,18825,45926,2,1,12544,32755,0
1551,34008,2,1,45527,49273,1,30312,21846,44804,1,44804,49273,34008,1,30312,45527,30312,49273,34008,1,45527,21846,4,49273,34008,2,1,45527,44804,0
1552,19907,2,1,33152,30761,1,32503,3795,1528,1,1528,30761,19907,1,32503,33152,32503,30761,19907,1,33152,3795,9,30761,19907,2,1,33152,1528,0
1553,49612,2,2,3947,12071,2,14088,24222,22564,1,22564,12071,49612,1,14088,3947,14088,12071,49612,1,3947,24222,7,12071,49612,2,2,3947,22564,0
1554,49276,2,1,34304,7375,1,17405,32369,454,1,454,7375,49276,1,17405,34304,17405,7375,49276,1,34304,32369,6,7375,49276,2,1,34304,454,0
1555,39545,2,1,38891,37430,1,40987,38100,3559,1,3559,37430,39545,1,40987,38891,40987,37430,39545,1,38891,38100,8,37430,39545,2,1,38891,3559,0
1556,5901,1,2,36037,40831,2,22170,4442,20875,2,20875,40831,5901,2,22170,36037,22170,40831,5901,2,36037,4442,4,40831,5901,1,2,36037,20875,0
1557,28080,2,2,25461,22645,2,11981,11840,25668,2,25668,22645,28080,2,11981,25461,11981,22645,28080,2,25461,11840,3,22645,28080,2,2,25461,25668,0
1558,40930,1,2,1278,16305,2,1964,40729,40447,1,40447,16305,40930,1,1964,1278,1964,16305,40930,1,1278,40729,5,16305,40930,1,2,1278,40447,0
1559,48421,2,2,5052,13688,2,38250,34292,38810,2,38810,13688,48421,2,38250,5052,38250,13688,48421,2,5052,34292,6,13688,48421,2,2,5052,38810,0
1560,3603,2,2,44040,29567,2,39455,38865,466,1,466,29567,3603,1,39455,44040,39455,29567,3603,1,44040,38865,7,29567,3603,2,2,44040,466,0
1561,22913,1,1,27293,11048,1,9807,34883,48293,1,48293,11048,22913,1,9807,27293,9807,11048,22913,1,27293,34883,10,11048,22913,1,1,27293,48293,0
1562,9172,2,1,12167,19368,1,2936,13160,20141,2,20141,19368,9172,2,2936,12167,2936,19368,9172,2,12167,13160,6,19368,9172,2,1,12167,20141,0
1563,28064,2,1,7263,49079,1,22073,25813,30997,2,30997,49079,28064,2,22073,7263,22073,49079,28064,2,7263,25813,5,49079,28064,2,1,7263,30997,0
1564,40173,1,1,36315,15757,1,16822,5383,43960,1,43960,15757,40173,1,16822,36315,16822,15757,40173,1,36315,5383,3,15757,40173,1,1,36315,43960,0
1565,22463,2,2,48422,41933,2,2863,44562,44797,2,44797,41933,22463,2,2863,48422,2863,41933,22463,2,48422,44562,8,41933,22463,2,2,48422,44797,0
1566,9903,2,2,7681,18145,2,22920,27108,21981,2,21981,18145,9903,2,22920,7681,22920,18145,9903,2,7681,27108,5,18145,9903,2,2,7681,21981,0
1567,48177,2,1,5957,23906,1,35157,2999,8964,1,8964,23906,48177,1,35157,5957,35157,23906,48177,1,5957,2999,8,23906,48177,2,1,5957,8964,0
1568,31102,2,2,34523,10509,2,36187,27616,24187,2,24187,10509,31102,2,36187,34523,36187,10509,31102,2,34523,27616,6,10509,31102,2,2,34523,24187,0
1569,35283,1,1,20505,22388,1,7910,26911,33649,1,33649,22388,35283,1,7910,20505,7910,22388,35283,1,20505,26911,3,22388,35283,1,1,20505,33649,0
1570,27443,1,1,4379,25880,1,46903,26503,31311,1,31311,25880,27443,1,46903,4379,46903,25880,27443,1,4379,26503,3,25880,27443,1,1,4379,31311,0
1571,43596,1,1,31076,33705,1,24736,28655,18194,2,18194,33705,43596,2,24736,31076,24736,33705,43596,2,31076,28655,9,33705,43596,1,1,31076,18194,0
1572,5236,2,2,10608,46260,2,19660,16616,14034,2,14034,46260,5236,2,19660,10608,19660,46260,5236,2,10608,16616,8,46260,5236,2,2,10608,14034,0
1573,24055,2,2,6184,28398,2,18192,26951,31811,1,31811,28398,24055,1,18192,6184,18192,28398,24055,1,6184,26951,4,28398,24055,2,2,6184,31811,0
1574,49553,1,2,33733,5426,2,1796,34787,3050,2,3050,5426,49553,2,1796,33733,1796,5426,49553,2,33733,34787,7,5426,49553,1,2,33733,3050,0
1575,14306,2,2,6205,26034,2,738,41641,3370,1,3370,26034,14306,1,738,6205,738,26034,14306,1,6205,41641,4,26034,14306,2,2,6205,3370,0
1576,31017,1,1,19715,32364,1,18785,39319,2792,1,2792,32364,31017,1,18785,19715,18785,32364,31017,1,19715,39319,7,32364,31017,1,1,19715,2792,0
1577,6611,2,1,23960,36611,1,29286,11725,18045,2,18045,36611,6611,2,29286,23960,29286,36611,6611,2,23960,11725,7,36611,6611,2,1,23960,18045,0
1578,35795,1,1,22556,49562,1,43287,869,49659,1,49659,49562,35795,1,43287,22556,43287,49562,35795,1,22556,869,9,49562,35795,1,1,22556,49659,0
1579,42854,1,2,32980,23964,2,29492,36198,41508,2,41508,23964,42854,2,29492,32980,29492,23964,42854,2,32980,36198,3,23964,42854,1,2,32980,41508,0
1580,19183,1,2,3230,32864,2,35172,48193,38541,1,38541,32864,19183,1,35172,3230,35172,32864,19183,1,3230,48193,3,32864,19183,1,2,3230,38541,0
1581,21600,1,1,13993,46959,1,31702,32569,7872,2,7872,46959,21600,2,31702,13993,31702,46959,21600,2,13993,32569,5,46959,21600,1,1,13993,7872,0
1582,7397,2,1,43676,14441,1,25985,23082,43610,1,43610,14441,7397,1,25985,43676,25985,14441,7397,1,43676,23082,3,14441,7397,2,1,43676,43610,0
1583,11418,2,2,39761,35860,2,32572,30090,7604,1,7604,35860,11418,1,32572,39761,32572,35860,11418,1,39761,30090,7,35860,11418,2,2,39761,7604,0
1584,49971,1,2,9164,37789,2,33204,2579,33977,1,33977,37789,49971,1,33204,9164,33204,37789,49971,1,9164,2579,10,37789,49971,1,2,9164,33977,0
1585,46235,2,1,15876,7296,1,30964,37264,31705,2,31705,7296,46235,2,30964,15876,30964,7296,46235,2,15876,37264,5,7296,46235,2,1,15876,31705,0
1586,27425,1,1,3122,31084,1,35852,49795,5405,1,5405,31084,27425,1,35852,3122,35852,31084,27425,1,3122,49795,7,31084,27425,1,1,3122,5405,0
1587,26155,2,1,4646,38795,1,5122,23859,28349,1,28349,38795,26155,1,5122,4646,5122,38795,26155,1,4646,23859,4,38795,26155,2,1,4646,28349,0
1588,39608,2,2,6792,19231,2,16218,26545,22539,1,22539,19231,39608,1,16218,6792,16218,19231,39608,1,6792,26545,5,19231,39608,2,2,6792,22539,0
1589,42428,2,1,26586,4856,1,48475,47265,22565,2,22565,4856,42428,2,48475,26586,48475,4856,42428,2,26586,47265,4,4856,42428,2,1,26586,22565,0
1590,44107,2,2,15133,16713,2,21612,6188,44139,1,44139,16713,44107,1,21612,15133,21612,16713,44107,1,15133,6188,5,16713,44107,2,2,15133,44139,0
1591,43634,2,1,43869,33686,1,28074,10594,22651,2,22651,33686,43634,2,28074,43869,28074,33686,43634,2,43869,10594,9,33686,43634,2,1,43869,22651,0
1592,45430,1,2,17249,24967,2,47798,40098,6974,1,6974,24967,45430,1,47798,17249,47798,24967,45430,1,17249,40098,6,24967,45430,1,2,17249,6974,0
1593,2689,2,1,35422,21333,1,21954,24694,36469,1,36469,21333,2689,1,21954,35422,21954,21333,2689,1,35422,24694,10,21333,2689,2,1,35422,36469,0
1594,5208,2,1,3199,47150,1,18078,13212,1658,1,1658,47150,5208,1,18078,3199,18078,47150,5208,1,3199,13212,3,47150,5208,2,1,3199,1658,0
1595,47348,2,2,33828,20682,2,15835,28263,38038,1,38038,20682,47348,1,15835,33828,15835,20682,47348,1,33828,28263,8,20682,47348,2,2,33828,38038,0
1596,18222,2,1,28602,2350,1,43193,10875,29144,2,29144,2350,18222,2,43193,28602,43193,2350,18222,2,28602,10875,9,2350,18222,2,1,28602,29144,0
1597,49000,1,1,27995,33265,1,12123,38658,4087,1,4087,33265,49000,1,12123,27995,12123,33265,49000,1,27995,38658,9,33265,49000,1,1,27995,4087,0
1598,9553,2,2,25051,49135,2,46965,40789,34569,2,34569,49135,9553,2,46965,25051,46965,49135,9553,2,25051,40789,3,49135,9553,2,2,25051,34569,0
1599,49560,1,2,30806,28960,2,20735,23916,8503,2,8503,28960,49560,2,20735,30806,20735,28960,49560,2,30806,23916,10,28960,49560,1,2,30806,8503,0
1600,43092,2,1,4945,12925,1,30001,46037,618,2,618,12925,43092,2,30001,4945,30001,12925,43092,2,4945,46037,9,12925,43092,2,1,4945,618,0
1601,19267,2,1,13229,10460,1,31584,47156,2362,1,2362,10460,19267,1,31584,13229,31584,10460,19267,1,13229,47156,10,10460,19267,2,1,13229,2362,0
1602,36767,2,2,6649,36725,2,40694,19667,11588,1,11588,36725,36767,1,40694,6649,40694,36725,36767,1,6649,19667,6,36725,36767,2,2,6649,11588,0
1603,32995,1,1,2525,36692,1,35332,2335,44547,2,44547,36692,32995,2,35332,2525,35332,36692,32995,2,2525,2335,5,36692,32995,1,1,2525,44547,0
1604,26911,1,2,33075,25867,2,30195,28713,10990,2,10990,25867,26911,2,30195,33075,30195,25867,26911,2,33075,28713,4,25867,26911,1,2,33075,10990,0
1605,46592,2,2,33132,21801,2,7565,13235,14928,1,14928,21801,46592,1,7565,33132,7565,21801,46592,1,33132,13235,8,21801,46592,2,2,33132,14928,0
1606,49666,2,2,22553,16358,2,32359,44586,38410,2,38410,16358,49666,2,32359,22553,32359,16358,49666,2,22553,44586,8,16358,49666,2,2,22553,38410,0
1607,12381,2,1,15078,38460,1,47564,18978,8487,1,8487,38460,12381,1,47564,15078,47564,38460,12381,1,15078,18978,8,38460,12381,2,1,15078,8487,0
1608,48659,1,1,19567,15310,1,17583,24658,1285,2,1285,15310,48659,2,17583,19567,17583,15310,48659,2,19567,24658,5,15310,48659,1,1,19567,1285,0
1609,43135,2,2,34640,9050,2,13351,10127,13371,1,13371,9050,43135,1,13351,34640,13351,9050,43135,1,34640,10127,7,9050,43135,2,2,34640,13371,0
